Timestamp,Sensor,X,Y,Z,W
16883428676488,Gyro,-0.095514,-0.028601,0.004922,
16883448749149,Gyro,-0.121854,-0.022349,0.049220,
16883468741274,Gyro,-0.103762,-0.017693,0.071968,
16883492423352,pre,1003.835999,,,
16883508164222,pre,1003.835266,,,
16883488854811,Gyro,0.006917,0.003592,0.102964,
16883509089759,Gyro,0.147395,0.025408,0.096711,
16883523661048,pre,1003.847229,,,
16883539310401,pre,1003.845032,,,
16883554898744,pre,1003.835999,,,
16883529266442,Gyro,0.172005,0.029000,0.040707,
16883549384862,Gyro,0.102033,0.018491,0.008381,
16883570517592,pre,1003.830750,,,
16883586166945,pre,1003.830750,,,
16883569510907,Gyro,-0.010110,0.001995,0.004390,
16883589644579,Gyro,-0.056271,0.000665,0.005188,
16883602609443,pre,1003.838989,,,
16883569510907,Lacc,-0.011124,0.098329,0.137281,
16883569510907,GameRo,0.008788,0.035185,0.000273,0.999342
16883589644579,Lacc,-0.012235,-0.019460,-0.013996,
16883589644579,GameRo,0.008788,0.035185,0.000273,0.999342
16883617374136,pre,1003.830017,,,
16883633023489,pre,1003.838257,,,
16883609778250,Gyro,-0.029665,0.012372,-0.013303,
16883629911919,Gyro,0.000532,0.021551,-0.035252,
16883609778250,Lacc,-0.035573,-0.050075,-0.065915,
16883609778250,GameRo,0.007689,0.035153,0.000431,0.999352
16883629911919,Lacc,-0.025021,-0.055549,-0.037605,
16883629911919,GameRo,0.007689,0.035153,0.000431,0.999352
16883648642337,pre,1003.843506,,,
16883664352702,pre,1003.841248,,,
16883650045590,Gyro,-0.013170,0.017294,-0.038179,
16883670179262,Gyro,-0.060927,0.002395,-0.034055,
16883679971550,pre,1003.842773,,,
16883650045590,Lacc,-0.023492,0.036563,0.044932,
16883650045590,GameRo,0.007513,0.035558,-0.000151,0.999339
16883670179262,Lacc,-0.002640,0.035360,0.075886,
16883670179262,GameRo,0.007513,0.035558,-0.000151,0.999339
16883695590398,pre,1003.842773,,,
16883711209246,pre,1003.833740,,,
16883690335812,Gyro,-0.106423,-0.009711,-0.026207,
16883710515242,Gyro,-0.101367,-0.011706,-0.011973,
16883690335812,Lacc,-0.000288,0.003950,0.029176,
16883690335812,GameRo,0.006652,0.035728,-0.000844,0.999339
16883710515242,Lacc,0.043053,-0.095400,-0.073483,
16883710515242,GameRo,0.006652,0.035728,-0.000844,0.999339
16883726767083,pre,1003.833740,,,
16883742446941,pre,1003.839783,,,
16883757943767,pre,1003.845764,,,
16883730641287,Gyro,-0.015564,-0.004257,0.021151,
16883750713946,Gyro,0.036184,0.002128,0.038711,
16883730641287,Lacc,0.045243,-0.131552,-0.129593,
16883730641287,GameRo,0.004371,0.035476,-0.001133,0.999360
16883750713946,Lacc,0.005782,0.011297,0.000574,
16883750713946,GameRo,0.004371,0.035476,-0.001133,0.999360
16883773684637,pre,1003.842773,,,
16883789303485,pre,1003.838989,,,
16883770839991,Gyro,0.010775,-0.001995,0.032060,
16883791019420,Gyro,-0.028601,-0.009179,0.018225,
16883770839991,Lacc,-0.031579,0.037205,0.056883,
16883770839991,GameRo,0.004990,0.035493,-0.000421,0.999357
