time_s,L_Wx,L_Wy,L_Wz,L_Lacc_dt_s,L_GameRo_dt_s,R_Wx,R_Wy,R_Wz,R_Lacc_dt_s,R_GameRo_dt_s
0.5362,-0.002,-0.002,-0.007,0.0,0.0,-0.02022924440624377,0.015114247986836204,-0.03883731682988505,0.004303177000000047,0.004303177000000047
0.5562,0.001,-0.006,-0.021,0.000154989999999966,0.000154989999999966,0.0008017853930103578,-0.001960497154265739,-0.028009169767982622,0.00460328100000007,0.00460328100000007
0.5762,-0.002,-0.003,0.021,0.00025761099999999093,0.00025761099999999093,-0.02116746305741482,0.015036094153569693,-0.023829695346730035,0.004903385000000093,0.004903385000000093
0.5962000000000001,0.031,0.016,-0.013,0.0003897730000000932,0.0003897730000000932,-0.014175047192422683,0.012036790563178251,-0.024883402300143236,0.005203489000000117,0.005203489000000117
0.6162,0.0020699814784110896,-0.0009999755893383597,-0.03499593155639328,0.0005265740000000019,0.0005265740000000019,-0.013181803315226306,0.015038098964901787,-0.025886205609948115,0.0055035940000000005,0.0055035940000000005
0.6362,-0.014947893758503836,-0.008000179619466394,-0.02602993657773212,0.0006510859999999674,0.0006510859999999674,-0.002186993881654488,-0.0029375274015188404,-0.021990634154724416,0.005803698000000024,0.005803698000000024
0.6562,0.003025727028501277,0.004005413945789182,-0.016994164735928467,0.0007811730000000239,0.0007811730000000239,-0.0233703638260117,0.015127065130993898,-0.04376069006725686,0.006103802000000047,0.006103802000000047
0.6762,-0.011908273950139702,-0.011025372576172943,-0.03502333752064471,0.0009114230000000223,0.0009114230000000223,-0.025047623485805155,0.017019803416845353,-0.005739586166726799,0.00640390600000007,0.00640390600000007
0.6962,-0.016916274841581327,-0.008035399026172882,-0.03403339548111919,0.00104163200000007,0.00104163200000007,-0.007938504707180086,0.012981075943545988,0.0071043515088973,0.0067040100000000935,0.0067040100000000935
0.7162,-0.016912300275488047,-0.008035471000478044,-0.0360333915305263,0.0011681379999999297,0.0011681379999999297,-0.00826549067609205,0.008115496486961042,-0.02688531905433815,0.007004113999999895,0.007004113999999895
0.7362,0.0030933424819691046,0.0020042664034267553,-0.04899402155848551,0.0013015610000000066,0.0013015610000000066,-0.01149607037518405,0.005126170028772078,-0.043858439857853294,0.007304219000000001,0.007304219000000001
0.7562,-0.020924088410608194,-0.013043110119397088,-0.025041162165489336,0.001431933999999968,0.001431933999999968,-0.012065222226273164,0.010018805640003351,-0.00583557590803866,0.007604323000000024,0.007604323000000024
0.7762,-0.01396798010707584,-0.00702846755019507,-0.009027523227562966,0.0015620199999999418,0.0015620199999999418,-0.011212714168299852,0.008055434090481739,-0.01885165835129399,0.007904427000000047,0.007904427000000047
0.7962,-0.0059382745831083085,-0.004013031200926107,-0.027011709970973775,0.0016920259999999576,0.0016920259999999576,-0.01915639572659254,0.004042553393303506,-0.01377280889392129,0.008204478999999987,0.008204478999999987
0.8162,-0.007854728956099092,-0.007018451177045435,-0.06601548739577442,0.0018473810000000368,0.0018473810000000368,-0.00929239997357795,0.006074932802166109,-0.025879460855671138,0.00850458300000001,0.00850458300000001
0.8362,-0.0008726663982551927,-0.00600408638876367,-0.05800163273558446,0.0019522810000001112,0.0019522810000001112,-0.01129189599085728,0.008075236781718294,-0.02585118248457593,0.008804687000000033,0.008804687000000033
0.8562000000000001,-0.0019482748166780573,-0.002004882192090695,-0.024003847038225692,0.0020825710000000885,0.0020825710000000885,-0.01823319761767451,0.017062147903351647,-0.02074689407017306,0.009104792000000028,0.009104792000000028
0.8762000000000001,-0.0019164543729907825,-0.003005419976119328,-0.03900377742480065,0.0022126590000000057,0.0022126590000000057,-0.0014284642213075022,0.007107628231597825,-0.03796631547687816,0.009404896000000051,0.009404896000000051
0.8962,-0.0029163547161129787,-0.007007279207943147,-0.035005612596721324,0.0023427050000000005,0.0023427050000000005,-0.007495950373695767,0.0071255379876338535,-0.04389803453893895,0.009704999999999964,0.009704999999999964
0.9162,-0.0038925511523217886,-0.005009798348073892,-0.049007652117176524,0.002473158000000031,0.002473158000000031,-0.011212714168299852,0.008055434090481739,-0.01885165835129399,0.00969484399999998,0.00969484399999998
0.9362,-0.0048825868250339305,-0.006011951546898593,-0.0530095914386609,0.0026030410000000836,0.0026030410000000836,-0.033228853763804654,0.03506441570897611,-0.02052632525640661,0.009394739999999957,0.009394739999999957
0.9561999999999999,-0.015878496545867753,-0.0090340334981848,-0.052031332735156255,0.002733290999999971,0.002733290999999971,-0.03697898864175425,0.03900278663847987,0.0015287359046699035,0.009094636000000045,0.009094636000000045
0.9762,0.009121260036645602,-0.002983979723799339,-0.0579818806210341,0.0028634180000000065,0.0028634180000000065,0.008689523285704603,-0.018869448623434183,-0.031167869572923564,0.008794583000000022,0.008794583000000022
0.9962,-0.000874653681301832,-0.006004050401611089,-0.0570016347108809,0.0029935469999999853,0.0029935469999999853,0.01080964290572524,-0.017964114855203186,-0.012224655321103008,0.00849447900000011,0.00849447900000011
1.0162,-0.007886501569904272,-0.008017837372191484,-0.049015480991835524,0.003123795999999901,0.003123795999999901,0.002939620728141979,-0.004986082787141352,-0.0040617248078188084,0.00819442700000006,0.00819442700000006
1.0362,-0.014936179581215996,-0.0070310546181108205,-0.02502947882946846,0.0032537200000000155,0.0032537200000000155,-0.012945886315249535,0.012002875180565796,0.003214811800462436,0.007894322999999925,0.007894322999999925
1.0562,-0.061887866454817926,-0.025125763975644356,-0.03112214597856067,0.0033835220000000277,0.0033835220000000277,-0.005986055382001133,0.008009381620017988,0.0001301807533133849,0.007594219000000013,0.007594219000000013
1.0762,-0.0029003310999385877,-0.0059197334437646795,-0.04401755144786571,0.0035140160000000087,0.0035140160000000087,-0.0037507540939534794,0.007312179352524634,-0.05391163025584741,0.007294114999999879,0.007294114999999879
1.0962,0.02625129914965219,0.006127456681084503,-0.06288341249945734,0.003669370999999977,0.003669370999999977,-0.014253982828294605,0.01511610362779788,-0.021756088450003108,0.006994062999999828,0.006994062999999828
1.1162,0.031199609078330696,0.001101764588979717,-0.04987354517326614,0.0037742710000001622,0.0037742710000001622,-0.012529253057906128,0.010202857037470882,-0.04280092903295303,0.006693957999999833,0.006693957999999833
1.1362,-0.0070358641809305485,-0.0010183983172560207,0.00896992085220983,0.0039030559999999603,0.0039030559999999603,0.06397345680927419,-0.07267486225656378,-0.08012965256296464,0.006393906000000005,0.006393906000000005
1.1562000000000001,-0.006011683503005531,-0.0040063380307888965,0.0029679819815399393,0.0040294810000001124,0.0040294810000001124,0.047513227826285746,-0.046516347259419964,0.11920873549857214,0.0060938019999998705,0.0060938019999998705
1.1762000000000001,-0.015053470357452612,-0.0030190092550472225,0.008903853846241797,0.004181215000000016,0.004181215000000016,-0.11661313741879419,0.11934889669151945,-0.11401410895087707,0.00579374999999982,0.00579374999999982
1.1962000000000002,0.0009275769468467007,0.001231958095188191,-0.1159940596766032,0.004319603000000116,0.004319603000000116,0.005291454480101966,-0.011736738627424905,-0.17507783833448623,0.005493645999999908,0.005493645999999908
1.2162000000000002,0.0003118893583138708,7.798658451856335e-05,-0.03899867488929343,0.004425113000000147,0.004425113000000147,0.015031127289929412,-0.010962152302778501,0.35188477720595496,0.005193541999999773,0.005193541999999773
1.2362000000000002,0.03487442604111527,0.008294223711960128,-0.1457771596009428,0.004580468000000337,0.004580468000000337,-0.029714692054415983,0.03892192508107559,-0.05366675716022321,0.004893489999999723,0.004893489999999723
1.2562,0.15414699577653848,0.060304756453863205,-0.13469610254980696,0.004706933999999885,0.004706933999999885,0.05217416072963774,-0.04071686800401572,-0.003740803670534813,0.004593386000000033,0.004593386000000033
1.2762,-0.101931012449595,-0.033194923580662276,0.23500248030494164,0.004815333000000033,0.004815333000000033,0.01391818875755882,-0.004929234191885499,0.11077899923717723,0.004293332999999899,0.004293332999999899
1.2962,-0.10087784300392422,-0.036378283555640205,0.010875719581758456,0.00499058600000013,0.00499058600000013,-0.026131991356050883,0.04958658623286761,0.1357361023955591,0.003993228999999987,0.003993228999999987
1.3162,0.0017492861668862954,0.014109135261338255,0.04897828396425913,0.005075099999999999,0.005075099999999999,-0.029563781930976363,0.0606784060137463,0.03010172489357773,0.0036931769999999364,0.0036931769999999364
1.3362,-0.00910281644627785,-0.009624601665640166,-0.14401911600729647,0.005231106000000096,0.005231106000000096,0.055814804725396155,-0.039225358801260844,-0.11441188225170597,0.003393073000000024,0.003393073000000024
1.3562,0.028546812099828525,0.01066219095399244,-0.07384034942358877,0.00533523300000005,0.00533523300000005,0.1117064360485161,-0.11924262620166995,-0.29803836706348324,0.0030930209999999736,0.0030930209999999736
1.3761999999999999,0.11306636469355723,0.023126798531598,-0.21602580485826778,0.00546592999999973,0.00546592999999973,0.07855535867504773,-0.09169235797067621,-0.23509055088031916,0.0027929170000000614,0.0027929170000000614
1.3961999999999999,-0.061843923157756525,-0.02437562895519966,-0.0014689729391411804,0.00559597700000003,0.00559597700000003,0.06206599601776368,-0.06536385628603808,0.09506512730618467,0.0024928650000000108,0.0024928650000000108
1.4162,-0.1250196737156342,-0.029624110253308036,0.018933918657694268,0.005725575000000038,0.005725575000000038,0.12444778625128486,-0.07951523149524069,0.384488070630823,0.002192813000000182,0.002192813000000182
1.4362,-0.03562970345393277,-0.02384741574098689,-0.2654634155477198,0.005862091000000014,0.005862091000000014,0.9357172078932462,0.002766515170374584,0.45378260571145795,0.0018927080000001872,0.0018927080000001872
1.4562,0.15938105024744115,-0.004049790790484498,-0.2411602786873822,0.005986765999999921,0.005986765999999921,0.8326365676190953,-0.5878135492512657,0.02871545890495697,0.0015926560000001366,0.0015926560000001366
1.4762,0.24093242944441431,0.002253925443662032,-0.3082003962718197,0.006116527000000094,0.006116527000000094,0.36006069173448746,-0.37894626451599533,-0.22340552114273196,0.0012925520000000024,0.0012925520000000024
1.4962,-0.5935448519399849,-0.1165893143684621,0.3360899292014457,0.00624677699999987,0.00624677699999987,0.1623429253447248,-0.0383780734445661,0.09170004399781176,0.0009924999999999518,0.0009924999999999518
1.5162,-1.0326448687450271,-0.3052362334093066,0.842535113136933,0.006376458000000085,0.006376458000000085,-0.10114253040340693,-0.49297444224791576,0.07676189050533055,0.0006924479999999011,0.0006924479999999011
1.5362,0.4638257104538017,-0.565341781104065,-0.5557664805114735,0.006507196000000048,0.006507196000000048,0.09111306769585198,-0.3916200734764908,-0.42355179960108685,0.0003923439999999889,0.0003923439999999889
